,index,U,M,t,UM,count
0,400,1,1,0,(1+1j),1.0
1,401,1,1,45,(1+1j),-0.267578125
2,402,1,1,90,(1+1j),-0.251953125
3,403,1,1,136,(1+1j),-0.1796875
4,404,1,1,181,(1+1j),-0.234375
5,405,1,1,227,(1+1j),-0.111328125
6,406,1,1,272,(1+1j),-0.13671875
7,407,1,1,318,(1+1j),-0.138671875
8,408,1,1,363,(1+1j),-0.09375
9,409,1,1,409,(1+1j),-0.041015625
10,410,1,1,454,(1+1j),0.03515625
11,411,1,1,500,(1+1j),0.0
12,412,1,1,545,(1+1j),0.12109375
13,413,1,1,590,(1+1j),0.1171875
14,414,1,1,636,(1+1j),0.123046875
15,415,1,1,681,(1+1j),0.14453125
16,416,1,1,727,(1+1j),0.166015625
17,417,1,1,772,(1+1j),0.2109375
18,418,1,1,818,(1+1j),0.251953125
19,419,1,1,863,(1+1j),0.220703125
20,420,1,1,909,(1+1j),0.2265625
21,421,1,1,954,(1+1j),0.19921875
22,422,1,1,1000,(1+1j),0.193359375
23,423,1,1,1045,(1+1j),0.23046875
24,424,1,1,1090,(1+1j),0.232421875
25,425,1,1,1136,(1+1j),0.1796875
26,426,1,1,1181,(1+1j),0.173828125
27,427,1,1,1227,(1+1j),0.10546875
28,428,1,1,1272,(1+1j),0.13671875
29,429,1,1,1318,(1+1j),0.11328125
30,430,1,1,1363,(1+1j),0.009765625
31,431,1,1,1409,(1+1j),-0.01953125
32,432,1,1,1454,(1+1j),-0.05078125
33,433,1,1,1500,(1+1j),-0.072265625
34,434,1,1,1545,(1+1j),-0.095703125
35,435,1,1,1590,(1+1j),-0.16015625
36,436,1,1,1636,(1+1j),-0.146484375
37,437,1,1,1681,(1+1j),-0.130859375
38,438,1,1,1727,(1+1j),-0.212890625
39,439,1,1,1772,(1+1j),-0.26953125
40,440,1,1,1818,(1+1j),-0.26953125
41,441,1,1,1863,(1+1j),-0.244140625
42,442,1,1,1909,(1+1j),-0.259765625
43,443,1,1,1954,(1+1j),-0.25
44,444,1,1,2000,(1+1j),-0.25390625
45,445,1,1,2045,(1+1j),-0.19921875
46,446,1,1,2090,(1+1j),-0.19921875
47,447,1,1,2136,(1+1j),-0.154296875
48,448,1,1,2181,(1+1j),-0.10546875
49,449,1,1,2227,(1+1j),-0.1796875
50,450,1,1,2272,(1+1j),-0.087890625
51,451,1,1,2318,(1+1j),-0.01953125
52,452,1,1,2363,(1+1j),-0.015625
53,453,1,1,2409,(1+1j),-0.04296875
54,454,1,1,2454,(1+1j),0.0390625
55,455,1,1,2500,(1+1j),0.087890625
56,456,1,1,2545,(1+1j),0.09375
57,457,1,1,2590,(1+1j),0.189453125
58,458,1,1,2636,(1+1j),0.216796875
59,459,1,1,2681,(1+1j),0.17578125
60,460,1,1,2727,(1+1j),0.23046875
61,461,1,1,2772,(1+1j),0.2109375
62,462,1,1,2818,(1+1j),0.240234375
63,463,1,1,2863,(1+1j),0.263671875
64,464,1,1,2909,(1+1j),0.30078125
65,465,1,1,2954,(1+1j),0.267578125
66,466,1,1,3000,(1+1j),0.232421875
67,467,1,1,3045,(1+1j),0.19921875
68,468,1,1,3090,(1+1j),0.17578125
69,469,1,1,3136,(1+1j),0.2109375
70,470,1,1,3181,(1+1j),0.19140625
71,471,1,1,3227,(1+1j),0.126953125
72,472,1,1,3272,(1+1j),0.107421875
73,473,1,1,3318,(1+1j),0.0078125
74,474,1,1,3363,(1+1j),0.033203125
75,475,1,1,3409,(1+1j),-0.00390625
76,476,1,1,3454,(1+1j),-0.03125
77,477,1,1,3500,(1+1j),-0.123046875
78,478,1,1,3545,(1+1j),-0.08984375
79,479,1,1,3590,(1+1j),-0.10546875
80,480,1,1,3636,(1+1j),-0.154296875
81,481,1,1,3681,(1+1j),-0.166015625
82,482,1,1,3727,(1+1j),-0.140625
83,483,1,1,3772,(1+1j),-0.2578125
84,484,1,1,3818,(1+1j),-0.212890625
85,485,1,1,3863,(1+1j),-0.234375
86,486,1,1,3909,(1+1j),-0.251953125
87,487,1,1,3954,(1+1j),-0.18359375
88,488,1,1,4000,(1+1j),-0.17578125
89,489,1,1,4045,(1+1j),-0.234375
90,490,1,1,4090,(1+1j),-0.185546875
91,491,1,1,4136,(1+1j),-0.169921875
92,492,1,1,4181,(1+1j),-0.19140625
93,493,1,1,4227,(1+1j),-0.044921875
94,494,1,1,4272,(1+1j),-0.03515625
95,495,1,1,4318,(1+1j),-0.005859375
96,496,1,1,4363,(1+1j),0.02734375
97,497,1,1,4409,(1+1j),0.0703125
98,498,1,1,4454,(1+1j),0.048828125
99,499,1,1,4500,(1+1j),0.095703125
