,index,U,M,t,UM,count
0,300,1,0,0,(1+0j),1.0
1,301,1,0,45,(1+0j),-0.384765625
2,302,1,0,90,(1+0j),-0.48046875
3,303,1,0,136,(1+0j),-0.578125
4,304,1,0,181,(1+0j),-0.734375
5,305,1,0,227,(1+0j),-0.8125
6,306,1,0,272,(1+0j),-0.8515625
7,307,1,0,318,(1+0j),-0.9140625
8,308,1,0,363,(1+0j),-0.9375
9,309,1,0,409,(1+0j),-0.978515625
10,310,1,0,454,(1+0j),-0.943359375
11,311,1,0,500,(1+0j),-0.904296875
12,312,1,0,545,(1+0j),-0.833984375
13,313,1,0,590,(1+0j),-0.798828125
14,314,1,0,636,(1+0j),-0.734375
15,315,1,0,681,(1+0j),-0.626953125
16,316,1,0,727,(1+0j),-0.48046875
17,317,1,0,772,(1+0j),-0.365234375
18,318,1,0,818,(1+0j),-0.240234375
19,319,1,0,863,(1+0j),-0.087890625
20,320,1,0,909,(1+0j),0.001953125
21,321,1,0,954,(1+0j),0.17578125
22,322,1,0,1000,(1+0j),0.35546875
23,323,1,0,1045,(1+0j),0.47265625
24,324,1,0,1090,(1+0j),0.54296875
25,325,1,0,1136,(1+0j),0.630859375
26,326,1,0,1181,(1+0j),0.751953125
27,327,1,0,1227,(1+0j),0.833984375
28,328,1,0,1272,(1+0j),0.9140625
29,329,1,0,1318,(1+0j),0.962890625
30,330,1,0,1363,(1+0j),0.96484375
31,331,1,0,1409,(1+0j),0.98046875
32,332,1,0,1454,(1+0j),0.970703125
33,333,1,0,1500,(1+0j),0.947265625
34,334,1,0,1545,(1+0j),0.873046875
35,335,1,0,1590,(1+0j),0.7890625
36,336,1,0,1636,(1+0j),0.724609375
37,337,1,0,1681,(1+0j),0.64453125
38,338,1,0,1727,(1+0j),0.5390625
39,339,1,0,1772,(1+0j),0.396484375
40,340,1,0,1818,(1+0j),0.291015625
41,341,1,0,1863,(1+0j),0.115234375
42,342,1,0,1909,(1+0j),-0.001953125
43,343,1,0,1954,(1+0j),-0.095703125
44,344,1,0,2000,(1+0j),-0.25
45,345,1,0,2045,(1+0j),-0.39453125
46,346,1,0,2090,(1+0j),-0.525390625
47,347,1,0,2136,(1+0j),-0.6171875
48,348,1,0,2181,(1+0j),-0.671875
49,349,1,0,2227,(1+0j),-0.732421875
50,350,1,0,2272,(1+0j),-0.83984375
51,351,1,0,2318,(1+0j),-0.8671875
52,352,1,0,2363,(1+0j),-0.888671875
53,353,1,0,2409,(1+0j),-0.892578125
54,354,1,0,2454,(1+0j),-0.869140625
55,355,1,0,2500,(1+0j),-0.833984375
56,356,1,0,2545,(1+0j),-0.75
57,357,1,0,2590,(1+0j),-0.6875
58,358,1,0,2636,(1+0j),-0.607421875
59,359,1,0,2681,(1+0j),-0.474609375
60,360,1,0,2727,(1+0j),-0.359375
61,361,1,0,2772,(1+0j),-0.306640625
62,362,1,0,2818,(1+0j),-0.15625
63,363,1,0,2863,(1+0j),-0.041015625
64,364,1,0,2909,(1+0j),0.146484375
65,365,1,0,2954,(1+0j),0.3125
66,366,1,0,3000,(1+0j),0.41796875
67,367,1,0,3045,(1+0j),0.48828125
68,368,1,0,3090,(1+0j),0.669921875
69,369,1,0,3136,(1+0j),0.763671875
70,370,1,0,3181,(1+0j),0.818359375
71,371,1,0,3227,(1+0j),0.896484375
72,372,1,0,3272,(1+0j),0.939453125
73,373,1,0,3318,(1+0j),0.96875
74,374,1,0,3363,(1+0j),0.990234375
75,375,1,0,3409,(1+0j),0.96875
76,376,1,0,3454,(1+0j),0.955078125
77,377,1,0,3500,(1+0j),0.91015625
78,378,1,0,3545,(1+0j),0.84375
79,379,1,0,3590,(1+0j),0.775390625
80,380,1,0,3636,(1+0j),0.6484375
81,381,1,0,3681,(1+0j),0.55078125
82,382,1,0,3727,(1+0j),0.4140625
83,383,1,0,3772,(1+0j),0.345703125
84,384,1,0,3818,(1+0j),0.146484375
85,385,1,0,3863,(1+0j),0.017578125
86,386,1,0,3909,(1+0j),-0.087890625
87,387,1,0,3954,(1+0j),-0.26171875
88,388,1,0,4000,(1+0j),-0.375
89,389,1,0,4045,(1+0j),-0.478515625
90,390,1,0,4090,(1+0j),-0.61328125
91,391,1,0,4136,(1+0j),-0.712890625
92,392,1,0,4181,(1+0j),-0.78125
93,393,1,0,4227,(1+0j),-0.873046875
94,394,1,0,4272,(1+0j),-0.912109375
95,395,1,0,4318,(1+0j),-0.9140625
96,396,1,0,4363,(1+0j),-0.935546875
97,397,1,0,4409,(1+0j),-0.93359375
98,398,1,0,4454,(1+0j),-0.859375
99,399,1,0,4500,(1+0j),-0.830078125
