,index,U,M,t,UM,count
0,0,0,0,120,0j,-0.171875
1,1,0,0,164,0j,0.005859375
2,2,0,0,208,0j,-0.099609375
3,3,0,0,252,0j,0.15234375
4,4,0,0,296,0j,0.162109375
5,5,0,0,341,0j,0.197265625
6,6,0,0,385,0j,0.31640625
7,7,0,0,429,0j,0.328125
8,8,0,0,473,0j,0.34765625
9,9,0,0,518,0j,0.48046875
10,10,0,0,562,0j,0.521484375
11,11,0,0,606,0j,0.58984375
12,12,0,0,650,0j,0.576171875
13,13,0,0,695,0j,0.6953125
14,14,0,0,739,0j,0.60546875
15,15,0,0,783,0j,0.748046875
16,16,0,0,827,0j,0.7421875
17,17,0,0,872,0j,0.83203125
18,18,0,0,916,0j,0.853515625
19,19,0,0,960,0j,0.84375
20,20,0,0,1004,0j,0.8671875
21,21,0,0,1049,0j,0.779296875
22,22,0,0,1093,0j,0.892578125
23,23,0,0,1137,0j,0.849609375
24,24,0,0,1181,0j,0.89453125
25,25,0,0,1226,0j,0.875
26,26,0,0,1270,0j,0.87109375
27,27,0,0,1314,0j,0.853515625
28,28,0,0,1358,0j,0.814453125
29,29,0,0,1403,0j,0.74609375
30,30,0,0,1447,0j,0.80078125
31,31,0,0,1491,0j,0.763671875
32,32,0,0,1535,0j,0.724609375
33,33,0,0,1580,0j,0.6875
34,34,0,0,1624,0j,0.5546875
35,35,0,0,1668,0j,0.56640625
36,36,0,0,1712,0j,0.513671875
37,37,0,0,1756,0j,0.529296875
38,38,0,0,1801,0j,0.49609375
39,39,0,0,1845,0j,0.392578125
40,40,0,0,1889,0j,0.34765625
41,41,0,0,1933,0j,0.2421875
42,42,0,0,1978,0j,0.173828125
43,43,0,0,2022,0j,0.130859375
44,44,0,0,2066,0j,0.1015625
45,45,0,0,2110,0j,0.021484375
46,46,0,0,2155,0j,0.02734375
47,47,0,0,2199,0j,-0.029296875
48,48,0,0,2243,0j,-0.126953125
49,49,0,0,2287,0j,-0.171875
50,50,0,0,2332,0j,-0.33984375
51,51,0,0,2376,0j,-0.337890625
52,52,0,0,2420,0j,-0.353515625
53,53,0,0,2464,0j,-0.416015625
54,54,0,0,2509,0j,-0.482421875
55,55,0,0,2553,0j,-0.54296875
56,56,0,0,2597,0j,-0.640625
57,57,0,0,2641,0j,-0.63671875
58,58,0,0,2686,0j,-0.72265625
59,59,0,0,2730,0j,-0.748046875
60,60,0,0,2774,0j,-0.76171875
61,61,0,0,2818,0j,-0.810546875
62,62,0,0,2863,0j,-0.853515625
63,63,0,0,2907,0j,-0.88671875
64,64,0,0,2951,0j,-0.8828125
65,65,0,0,2995,0j,-0.91796875
66,66,0,0,3040,0j,-0.939453125
67,67,0,0,3084,0j,-0.908203125
68,68,0,0,3128,0j,-0.935546875
69,69,0,0,3172,0j,-0.947265625
70,70,0,0,3216,0j,-0.935546875
71,71,0,0,3261,0j,-0.8984375
72,72,0,0,3305,0j,-0.919921875
73,73,0,0,3349,0j,-0.89453125
74,74,0,0,3393,0j,-0.83984375
75,75,0,0,3438,0j,-0.814453125
76,76,0,0,3482,0j,-0.814453125
77,77,0,0,3526,0j,-0.736328125
78,78,0,0,3570,0j,-0.6875
79,79,0,0,3615,0j,-0.689453125
80,80,0,0,3659,0j,-0.583984375
81,81,0,0,3703,0j,-0.607421875
82,82,0,0,3747,0j,-0.5234375
83,83,0,0,3792,0j,-0.421875
84,84,0,0,3836,0j,-0.373046875
85,85,0,0,3880,0j,-0.310546875
86,86,0,0,3924,0j,-0.28515625
87,87,0,0,3969,0j,-0.1796875
88,88,0,0,4013,0j,-0.12890625
89,89,0,0,4057,0j,-0.08203125
90,90,0,0,4101,0j,0.015625
91,91,0,0,4146,0j,0.068359375
92,92,0,0,4190,0j,0.13671875
93,93,0,0,4234,0j,0.1484375
94,94,0,0,4278,0j,0.216796875
95,95,0,0,4323,0j,0.267578125
96,96,0,0,4367,0j,0.33984375
97,97,0,0,4411,0j,0.3828125
98,98,0,0,4455,0j,0.435546875
99,99,0,0,4500,0j,0.48828125
