,index,U,M,t,UM,count
0,500,1,2,120,(1+2j),0.96875
1,501,1,2,164,(1+2j),0.939453125
2,502,1,2,208,(1+2j),0.904296875
3,503,1,2,252,(1+2j),0.869140625
4,504,1,2,296,(1+2j),0.80859375
5,505,1,2,341,(1+2j),0.783203125
6,506,1,2,385,(1+2j),0.73828125
7,507,1,2,429,(1+2j),0.67578125
8,508,1,2,473,(1+2j),0.611328125
9,509,1,2,518,(1+2j),0.486328125
10,510,1,2,562,(1+2j),0.435546875
11,511,1,2,606,(1+2j),0.353515625
12,512,1,2,650,(1+2j),0.2421875
13,513,1,2,695,(1+2j),0.154296875
14,514,1,2,739,(1+2j),0.05859375
15,515,1,2,783,(1+2j),0.0
16,516,1,2,827,(1+2j),-0.125
17,517,1,2,872,(1+2j),-0.193359375
18,518,1,2,916,(1+2j),-0.279296875
19,519,1,2,960,(1+2j),-0.3671875
20,520,1,2,1004,(1+2j),-0.38671875
21,521,1,2,1049,(1+2j),-0.505859375
22,522,1,2,1093,(1+2j),-0.576171875
23,523,1,2,1137,(1+2j),-0.640625
24,524,1,2,1181,(1+2j),-0.703125
25,525,1,2,1226,(1+2j),-0.7265625
26,526,1,2,1270,(1+2j),-0.78125
27,527,1,2,1314,(1+2j),-0.8203125
28,528,1,2,1358,(1+2j),-0.888671875
29,529,1,2,1403,(1+2j),-0.91796875
30,530,1,2,1447,(1+2j),-0.9140625
31,531,1,2,1491,(1+2j),-0.92578125
32,532,1,2,1535,(1+2j),-0.931640625
33,533,1,2,1580,(1+2j),-0.94140625
34,534,1,2,1624,(1+2j),-0.89453125
35,535,1,2,1668,(1+2j),-0.884765625
36,536,1,2,1712,(1+2j),-0.87109375
37,537,1,2,1756,(1+2j),-0.8359375
38,538,1,2,1801,(1+2j),-0.759765625
39,539,1,2,1845,(1+2j),-0.76171875
40,540,1,2,1889,(1+2j),-0.732421875
41,541,1,2,1933,(1+2j),-0.595703125
42,542,1,2,1978,(1+2j),-0.533203125
43,543,1,2,2022,(1+2j),-0.49609375
44,544,1,2,2066,(1+2j),-0.412109375
45,545,1,2,2110,(1+2j),-0.359375
46,546,1,2,2155,(1+2j),-0.24609375
47,547,1,2,2199,(1+2j),-0.158203125
48,548,1,2,2243,(1+2j),-0.140625
49,549,1,2,2287,(1+2j),-0.009765625
50,550,1,2,2332,(1+2j),0.0546875
51,551,1,2,2376,(1+2j),0.1640625
52,552,1,2,2420,(1+2j),0.193359375
53,553,1,2,2464,(1+2j),0.296875
54,554,1,2,2509,(1+2j),0.4140625
55,555,1,2,2553,(1+2j),0.4453125
56,556,1,2,2597,(1+2j),0.486328125
57,557,1,2,2641,(1+2j),0.556640625
58,558,1,2,2686,(1+2j),0.650390625
59,559,1,2,2730,(1+2j),0.724609375
60,560,1,2,2774,(1+2j),0.7734375
61,561,1,2,2818,(1+2j),0.79296875
62,562,1,2,2863,(1+2j),0.802734375
63,563,1,2,2907,(1+2j),0.8671875
64,564,1,2,2951,(1+2j),0.890625
65,565,1,2,2995,(1+2j),0.90625
66,566,1,2,3040,(1+2j),0.880859375
67,567,1,2,3084,(1+2j),0.890625
68,568,1,2,3128,(1+2j),0.876953125
69,569,1,2,3172,(1+2j),0.822265625
70,570,1,2,3216,(1+2j),0.8359375
71,571,1,2,3261,(1+2j),0.779296875
72,572,1,2,3305,(1+2j),0.708984375
73,573,1,2,3349,(1+2j),0.67578125
74,574,1,2,3393,(1+2j),0.6640625
75,575,1,2,3438,(1+2j),0.560546875
76,576,1,2,3482,(1+2j),0.537109375
77,577,1,2,3526,(1+2j),0.462890625
78,578,1,2,3570,(1+2j),0.3671875
79,579,1,2,3615,(1+2j),0.294921875
80,580,1,2,3659,(1+2j),0.232421875
81,581,1,2,3703,(1+2j),0.11328125
82,582,1,2,3747,(1+2j),0.025390625
83,583,1,2,3792,(1+2j),-0.076171875
84,584,1,2,3836,(1+2j),-0.140625
85,585,1,2,3880,(1+2j),-0.244140625
86,586,1,2,3924,(1+2j),-0.37109375
87,587,1,2,3969,(1+2j),-0.388671875
88,588,1,2,4013,(1+2j),-0.4609375
89,589,1,2,4057,(1+2j),-0.5390625
90,590,1,2,4101,(1+2j),-0.603515625
91,591,1,2,4146,(1+2j),-0.662109375
92,592,1,2,4190,(1+2j),-0.703125
93,593,1,2,4234,(1+2j),-0.77734375
94,594,1,2,4278,(1+2j),-0.818359375
95,595,1,2,4323,(1+2j),-0.86328125
96,596,1,2,4367,(1+2j),-0.91015625
97,597,1,2,4411,(1+2j),-0.921875
98,598,1,2,4455,(1+2j),-0.9296875
99,599,1,2,4500,(1+2j),-0.943359375
