,index,U,M,t,UM,count
0,0,0,0,120,0j,-0.158203125
1,1,0,0,164,0j,-0.08984375
2,2,0,0,208,0j,-0.009765625
3,3,0,0,252,0j,-0.052734375
4,4,0,0,296,0j,0.0390625
5,5,0,0,341,0j,-0.005859375
6,6,0,0,385,0j,0.142578125
7,7,0,0,429,0j,0.177734375
8,8,0,0,473,0j,0.169921875
9,9,0,0,518,0j,0.24609375
10,10,0,0,562,0j,0.275390625
11,11,0,0,606,0j,0.333984375
12,12,0,0,650,0j,0.419921875
13,13,0,0,695,0j,0.396484375
14,14,0,0,739,0j,0.45703125
15,15,0,0,783,0j,0.5078125
16,16,0,0,827,0j,0.533203125
17,17,0,0,872,0j,0.537109375
18,18,0,0,916,0j,0.556640625
19,19,0,0,960,0j,0.60546875
20,20,0,0,1004,0j,0.689453125
21,21,0,0,1049,0j,0.685546875
22,22,0,0,1093,0j,0.751953125
23,23,0,0,1137,0j,0.70703125
24,24,0,0,1181,0j,0.814453125
25,25,0,0,1226,0j,0.810546875
26,26,0,0,1270,0j,0.8359375
27,27,0,0,1314,0j,0.87890625
28,28,0,0,1358,0j,0.884765625
29,29,0,0,1403,0j,0.88671875
30,30,0,0,1447,0j,0.923828125
31,31,0,0,1491,0j,0.921875
32,32,0,0,1535,0j,0.96875
33,33,0,0,1580,0j,0.962890625
34,34,0,0,1624,0j,0.962890625
35,35,0,0,1668,0j,0.97265625
36,36,0,0,1712,0j,0.98828125
37,37,0,0,1756,0j,0.99609375
38,38,0,0,1801,0j,0.99609375
39,39,0,0,1845,0j,0.998046875
40,40,0,0,1889,0j,1.0
41,41,0,0,1933,0j,0.990234375
42,42,0,0,1978,0j,0.994140625
43,43,0,0,2022,0j,0.978515625
44,44,0,0,2066,0j,0.98046875
45,45,0,0,2110,0j,0.96875
46,46,0,0,2155,0j,0.970703125
47,47,0,0,2199,0j,0.94140625
48,48,0,0,2243,0j,0.935546875
49,49,0,0,2287,0j,0.900390625
50,50,0,0,2332,0j,0.900390625
51,51,0,0,2376,0j,0.857421875
52,52,0,0,2420,0j,0.88671875
53,53,0,0,2464,0j,0.84375
54,54,0,0,2509,0j,0.8125
55,55,0,0,2553,0j,0.775390625
56,56,0,0,2597,0j,0.751953125
57,57,0,0,2641,0j,0.71875
58,58,0,0,2686,0j,0.701171875
59,59,0,0,2730,0j,0.66796875
60,60,0,0,2774,0j,0.658203125
61,61,0,0,2818,0j,0.59765625
62,62,0,0,2863,0j,0.58984375
63,63,0,0,2907,0j,0.5625
64,64,0,0,2951,0j,0.5390625
65,65,0,0,2995,0j,0.435546875
66,66,0,0,3040,0j,0.39453125
67,67,0,0,3084,0j,0.34375
68,68,0,0,3128,0j,0.349609375
69,69,0,0,3172,0j,0.29296875
70,70,0,0,3216,0j,0.271484375
71,71,0,0,3261,0j,0.203125
72,72,0,0,3305,0j,0.158203125
73,73,0,0,3349,0j,0.150390625
74,74,0,0,3393,0j,0.080078125
75,75,0,0,3438,0j,0.0859375
76,76,0,0,3482,0j,0.005859375
77,77,0,0,3526,0j,-0.046875
78,78,0,0,3570,0j,-0.0859375
79,79,0,0,3615,0j,-0.083984375
80,80,0,0,3659,0j,-0.16796875
81,81,0,0,3703,0j,-0.1875
82,82,0,0,3747,0j,-0.23046875
83,83,0,0,3792,0j,-0.251953125
84,84,0,0,3836,0j,-0.333984375
85,85,0,0,3880,0j,-0.37890625
86,86,0,0,3924,0j,-0.384765625
87,87,0,0,3969,0j,-0.435546875
88,88,0,0,4013,0j,-0.458984375
89,89,0,0,4057,0j,-0.484375
90,90,0,0,4101,0j,-0.580078125
91,91,0,0,4146,0j,-0.595703125
92,92,0,0,4190,0j,-0.63671875
93,93,0,0,4234,0j,-0.666015625
94,94,0,0,4278,0j,-0.671875
95,95,0,0,4323,0j,-0.736328125
96,96,0,0,4367,0j,-0.73828125
97,97,0,0,4411,0j,-0.73828125
98,98,0,0,4455,0j,-0.84375
99,99,0,0,4500,0j,-0.80859375
