,index,U,M,t,UM,count
0,100,0,1,120,1j,0.732421875
1,101,0,1,164,1j,0.66796875
2,102,0,1,208,1j,0.62890625
3,103,0,1,252,1j,0.60546875
4,104,0,1,296,1j,0.552734375
5,105,0,1,341,1j,0.568359375
6,106,0,1,385,1j,0.470703125
7,107,0,1,429,1j,0.42578125
8,108,0,1,473,1j,0.380859375
9,109,0,1,518,1j,0.37890625
10,110,0,1,562,1j,0.296875
11,111,0,1,606,1j,0.3125
12,112,0,1,650,1j,0.244140625
13,113,0,1,695,1j,0.224609375
14,114,0,1,739,1j,0.17578125
15,115,0,1,783,1j,0.119140625
16,116,0,1,827,1j,0.080078125
17,117,0,1,872,1j,0.0234375
18,118,0,1,916,1j,-0.00390625
19,119,0,1,960,1j,-0.146484375
20,120,0,1,1004,1j,-0.158203125
21,121,0,1,1049,1j,-0.19921875
22,122,0,1,1093,1j,-0.291015625
23,123,0,1,1137,1j,-0.31640625
24,124,0,1,1181,1j,-0.337890625
25,125,0,1,1226,1j,-0.38671875
26,126,0,1,1270,1j,-0.431640625
27,127,0,1,1314,1j,-0.4921875
28,128,0,1,1358,1j,-0.505859375
29,129,0,1,1403,1j,-0.537109375
30,130,0,1,1447,1j,-0.564453125
31,131,0,1,1491,1j,-0.607421875
32,132,0,1,1535,1j,-0.69921875
33,133,0,1,1580,1j,-0.728515625
34,134,0,1,1624,1j,-0.744140625
35,135,0,1,1668,1j,-0.748046875
36,136,0,1,1712,1j,-0.765625
37,137,0,1,1756,1j,-0.796875
38,138,0,1,1801,1j,-0.828125
39,139,0,1,1845,1j,-0.798828125
40,140,0,1,1889,1j,-0.87109375
41,141,0,1,1933,1j,-0.8828125
42,142,0,1,1978,1j,-0.904296875
43,143,0,1,2022,1j,-0.900390625
44,144,0,1,2066,1j,-0.912109375
45,145,0,1,2110,1j,-0.916015625
46,146,0,1,2155,1j,-0.919921875
47,147,0,1,2199,1j,-0.9453125
48,148,0,1,2243,1j,-0.919921875
49,149,0,1,2287,1j,-0.9453125
50,150,0,1,2332,1j,-0.9296875
51,151,0,1,2376,1j,-0.935546875
52,152,0,1,2420,1j,-0.935546875
53,153,0,1,2464,1j,-0.904296875
54,154,0,1,2509,1j,-0.900390625
55,155,0,1,2553,1j,-0.890625
56,156,0,1,2597,1j,-0.875
57,157,0,1,2641,1j,-0.87109375
58,158,0,1,2686,1j,-0.857421875
59,159,0,1,2730,1j,-0.814453125
60,160,0,1,2774,1j,-0.798828125
61,161,0,1,2818,1j,-0.783203125
62,162,0,1,2863,1j,-0.76171875
63,163,0,1,2907,1j,-0.7421875
64,164,0,1,2951,1j,-0.7578125
65,165,0,1,2995,1j,-0.6953125
66,166,0,1,3040,1j,-0.671875
67,167,0,1,3084,1j,-0.6328125
68,168,0,1,3128,1j,-0.62109375
69,169,0,1,3172,1j,-0.6328125
70,170,0,1,3216,1j,-0.6015625
71,171,0,1,3261,1j,-0.51953125
72,172,0,1,3305,1j,-0.5078125
73,173,0,1,3349,1j,-0.501953125
74,174,0,1,3393,1j,-0.421875
75,175,0,1,3438,1j,-0.41796875
76,176,0,1,3482,1j,-0.35546875
77,177,0,1,3526,1j,-0.34765625
78,178,0,1,3570,1j,-0.251953125
79,179,0,1,3615,1j,-0.298828125
80,180,0,1,3659,1j,-0.25
81,181,0,1,3703,1j,-0.123046875
82,182,0,1,3747,1j,-0.1015625
83,183,0,1,3792,1j,-0.087890625
84,184,0,1,3836,1j,-0.044921875
85,185,0,1,3880,1j,-0.01953125
86,186,0,1,3924,1j,0.076171875
87,187,0,1,3969,1j,0.05859375
88,188,0,1,4013,1j,0.1171875
89,189,0,1,4057,1j,0.189453125
90,190,0,1,4101,1j,0.212890625
91,191,0,1,4146,1j,0.267578125
92,192,0,1,4190,1j,0.2734375
93,193,0,1,4234,1j,0.271484375
94,194,0,1,4278,1j,0.31640625
95,195,0,1,4323,1j,0.40625
96,196,0,1,4367,1j,0.44921875
97,197,0,1,4411,1j,0.494140625
98,198,0,1,4455,1j,0.564453125
99,199,0,1,4500,1j,0.541015625
