,index,U,M,t,UM,count
0,0,0,0,120,0j,-0.140625
1,1,0,0,164,0j,-0.072265625
2,2,0,0,208,0j,-0.09375
3,3,0,0,252,0j,0.015625
4,4,0,0,296,0j,0.06640625
5,5,0,0,341,0j,0.21484375
6,6,0,0,385,0j,0.296875
7,7,0,0,429,0j,0.3515625
8,8,0,0,473,0j,0.3671875
9,9,0,0,518,0j,0.45703125
10,10,0,0,562,0j,0.373046875
11,11,0,0,606,0j,0.494140625
12,12,0,0,650,0j,0.486328125
13,13,0,0,695,0j,0.591796875
14,14,0,0,739,0j,0.625
15,15,0,0,783,0j,0.66796875
16,16,0,0,827,0j,0.759765625
17,17,0,0,872,0j,0.84375
18,18,0,0,916,0j,0.80078125
19,19,0,0,960,0j,0.83203125
20,20,0,0,1004,0j,0.8359375
21,21,0,0,1049,0j,0.830078125
22,22,0,0,1093,0j,0.880859375
23,23,0,0,1137,0j,0.841796875
24,24,0,0,1181,0j,0.884765625
25,25,0,0,1226,0j,0.89453125
26,26,0,0,1270,0j,0.939453125
27,27,0,0,1314,0j,0.931640625
28,28,0,0,1358,0j,0.927734375
29,29,0,0,1403,0j,0.916015625
30,30,0,0,1447,0j,0.880859375
31,31,0,0,1491,0j,0.89453125
32,32,0,0,1535,0j,0.787109375
33,33,0,0,1580,0j,0.853515625
34,34,0,0,1624,0j,0.751953125
35,35,0,0,1668,0j,0.7890625
36,36,0,0,1712,0j,0.7265625
37,37,0,0,1756,0j,0.755859375
38,38,0,0,1801,0j,0.681640625
39,39,0,0,1845,0j,0.638671875
40,40,0,0,1889,0j,0.609375
41,41,0,0,1933,0j,0.51171875
42,42,0,0,1978,0j,0.533203125
43,43,0,0,2022,0j,0.431640625
44,44,0,0,2066,0j,0.357421875
45,45,0,0,2110,0j,0.326171875
46,46,0,0,2155,0j,0.298828125
47,47,0,0,2199,0j,0.26171875
48,48,0,0,2243,0j,0.232421875
49,49,0,0,2287,0j,0.11328125
50,50,0,0,2332,0j,0.095703125
51,51,0,0,2376,0j,0.025390625
52,52,0,0,2420,0j,-0.095703125
53,53,0,0,2464,0j,-0.123046875
54,54,0,0,2509,0j,-0.2265625
55,55,0,0,2553,0j,-0.255859375
56,56,0,0,2597,0j,-0.2109375
57,57,0,0,2641,0j,-0.36328125
58,58,0,0,2686,0j,-0.404296875
59,59,0,0,2730,0j,-0.478515625
60,60,0,0,2774,0j,-0.552734375
61,61,0,0,2818,0j,-0.52734375
62,62,0,0,2863,0j,-0.61328125
63,63,0,0,2907,0j,-0.6640625
64,64,0,0,2951,0j,-0.73046875
65,65,0,0,2995,0j,-0.701171875
66,66,0,0,3040,0j,-0.765625
67,67,0,0,3084,0j,-0.78515625
68,68,0,0,3128,0j,-0.83203125
69,69,0,0,3172,0j,-0.8515625
70,70,0,0,3216,0j,-0.896484375
71,71,0,0,3261,0j,-0.8984375
72,72,0,0,3305,0j,-0.923828125
73,73,0,0,3349,0j,-0.935546875
74,74,0,0,3393,0j,-0.95703125
75,75,0,0,3438,0j,-0.95703125
76,76,0,0,3482,0j,-0.958984375
77,77,0,0,3526,0j,-0.943359375
78,78,0,0,3570,0j,-0.951171875
79,79,0,0,3615,0j,-0.9140625
80,80,0,0,3659,0j,-0.91796875
81,81,0,0,3703,0j,-0.912109375
82,82,0,0,3747,0j,-0.892578125
83,83,0,0,3792,0j,-0.8671875
84,84,0,0,3836,0j,-0.82421875
85,85,0,0,3880,0j,-0.76171875
86,86,0,0,3924,0j,-0.763671875
87,87,0,0,3969,0j,-0.740234375
88,88,0,0,4013,0j,-0.72265625
89,89,0,0,4057,0j,-0.69140625
90,90,0,0,4101,0j,-0.6171875
91,91,0,0,4146,0j,-0.603515625
92,92,0,0,4190,0j,-0.47265625
93,93,0,0,4234,0j,-0.42578125
94,94,0,0,4278,0j,-0.390625
95,95,0,0,4323,0j,-0.41015625
96,96,0,0,4367,0j,-0.3203125
97,97,0,0,4411,0j,-0.2578125
98,98,0,0,4455,0j,-0.2109375
99,99,0,0,4500,0j,-0.154296875
