,index,U,M,t,UM,count
0,0,0,0,0,0j,1.0
1,1,0,0,45,0j,-0.22265625
2,2,0,0,90,0j,-0.203125
3,3,0,0,136,0j,-0.150390625
4,4,0,0,181,0j,-0.123046875
5,5,0,0,227,0j,-0.107421875
6,6,0,0,272,0j,-0.076171875
7,7,0,0,318,0j,-0.060546875
8,8,0,0,363,0j,0.017578125
9,9,0,0,409,0j,0.0234375
10,10,0,0,454,0j,0.111328125
11,11,0,0,500,0j,0.060546875
12,12,0,0,545,0j,0.15234375
13,13,0,0,590,0j,0.197265625
14,14,0,0,636,0j,0.21875
15,15,0,0,681,0j,0.2265625
16,16,0,0,727,0j,0.357421875
17,17,0,0,772,0j,0.3203125
18,18,0,0,818,0j,0.36328125
19,19,0,0,863,0j,0.416015625
20,20,0,0,909,0j,0.453125
21,21,0,0,954,0j,0.435546875
22,22,0,0,1000,0j,0.490234375
23,23,0,0,1045,0j,0.5859375
24,24,0,0,1090,0j,0.576171875
25,25,0,0,1136,0j,0.62890625
26,26,0,0,1181,0j,0.56640625
27,27,0,0,1227,0j,0.611328125
28,28,0,0,1272,0j,0.666015625
29,29,0,0,1318,0j,0.673828125
30,30,0,0,1363,0j,0.71484375
31,31,0,0,1409,0j,0.732421875
32,32,0,0,1454,0j,0.748046875
33,33,0,0,1500,0j,0.78125
34,34,0,0,1545,0j,0.796875
35,35,0,0,1590,0j,0.8515625
36,36,0,0,1636,0j,0.82421875
37,37,0,0,1681,0j,0.84765625
38,38,0,0,1727,0j,0.8828125
39,39,0,0,1772,0j,0.89453125
40,40,0,0,1818,0j,0.91015625
41,41,0,0,1863,0j,0.943359375
42,42,0,0,1909,0j,0.9296875
43,43,0,0,1954,0j,0.951171875
44,44,0,0,2000,0j,0.958984375
45,45,0,0,2045,0j,0.955078125
46,46,0,0,2090,0j,0.96484375
47,47,0,0,2136,0j,0.98046875
48,48,0,0,2181,0j,0.982421875
49,49,0,0,2227,0j,0.978515625
50,50,0,0,2272,0j,0.97265625
51,51,0,0,2318,0j,0.98046875
52,52,0,0,2363,0j,0.978515625
53,53,0,0,2409,0j,0.986328125
54,54,0,0,2454,0j,0.96875
55,55,0,0,2500,0j,0.98046875
56,56,0,0,2545,0j,0.966796875
57,57,0,0,2590,0j,0.96484375
58,58,0,0,2636,0j,0.9609375
59,59,0,0,2681,0j,0.962890625
60,60,0,0,2727,0j,0.9296875
61,61,0,0,2772,0j,0.931640625
62,62,0,0,2818,0j,0.908203125
63,63,0,0,2863,0j,0.90625
64,64,0,0,2909,0j,0.916015625
65,65,0,0,2954,0j,0.884765625
66,66,0,0,3000,0j,0.876953125
67,67,0,0,3045,0j,0.810546875
68,68,0,0,3090,0j,0.837890625
69,69,0,0,3136,0j,0.783203125
70,70,0,0,3181,0j,0.80078125
71,71,0,0,3227,0j,0.763671875
72,72,0,0,3272,0j,0.76953125
73,73,0,0,3318,0j,0.724609375
74,74,0,0,3363,0j,0.6953125
75,75,0,0,3409,0j,0.646484375
76,76,0,0,3454,0j,0.6484375
77,77,0,0,3500,0j,0.619140625
78,78,0,0,3545,0j,0.583984375
79,79,0,0,3590,0j,0.58984375
80,80,0,0,3636,0j,0.5390625
81,81,0,0,3681,0j,0.51171875
82,82,0,0,3727,0j,0.4609375
83,83,0,0,3772,0j,0.470703125
84,84,0,0,3818,0j,0.41796875
85,85,0,0,3863,0j,0.423828125
86,86,0,0,3909,0j,0.40234375
87,87,0,0,3954,0j,0.32421875
88,88,0,0,4000,0j,0.3671875
89,89,0,0,4045,0j,0.29296875
90,90,0,0,4090,0j,0.2109375
91,91,0,0,4136,0j,0.150390625
92,92,0,0,4181,0j,0.177734375
93,93,0,0,4227,0j,0.142578125
94,94,0,0,4272,0j,0.125
95,95,0,0,4318,0j,0.04296875
96,96,0,0,4363,0j,0.013671875
97,97,0,0,4409,0j,-0.017578125
98,98,0,0,4454,0j,0.0078125
99,99,0,0,4500,0j,-0.119140625
