,level_0,index,U,M,t,UM,count
0,0,0,0,0,0,0j,1.0
1,1,1,0,0,90,0j,-0.392578125
2,2,2,0,0,181,0j,-0.56640625
3,3,3,0,0,272,0j,-0.671875
4,4,4,0,0,363,0j,-0.8125
5,5,5,0,0,454,0j,-0.908203125
6,6,6,0,0,545,0j,-0.939453125
7,7,7,0,0,636,0j,-0.9453125
8,8,8,0,0,727,0j,-0.90625
9,9,9,0,0,818,0j,-0.810546875
10,10,10,0,0,909,0j,-0.673828125
11,11,11,0,0,1000,0j,-0.525390625
12,12,12,0,0,1090,0j,-0.30859375
13,13,13,0,0,1181,0j,-0.146484375
14,14,14,0,0,1272,0j,0.08984375
15,15,15,0,0,1363,0j,0.30078125
16,16,16,0,0,1454,0j,0.498046875
17,17,17,0,0,1545,0j,0.66015625
18,18,18,0,0,1636,0j,0.8125
19,19,19,0,0,1727,0j,0.892578125
20,20,20,0,0,1818,0j,0.96875
21,21,21,0,0,1909,0j,1.0
22,22,22,0,0,2000,0j,0.96875
23,23,23,0,0,2090,0j,0.908203125
24,24,24,0,0,2181,0j,0.818359375
25,25,25,0,0,2272,0j,0.650390625
26,26,26,0,0,2363,0j,0.466796875
27,27,27,0,0,2454,0j,0.28515625
28,28,28,0,0,2545,0j,0.111328125
29,29,29,0,0,2636,0j,-0.171875
30,30,30,0,0,2727,0j,-0.30078125
31,31,31,0,0,2818,0j,-0.5078125
32,32,32,0,0,2909,0j,-0.73046875
33,33,33,0,0,3000,0j,-0.796875
34,34,34,0,0,3090,0j,-0.92578125
35,35,35,0,0,3181,0j,-0.974609375
36,36,36,0,0,3272,0j,-0.998046875
37,37,37,0,0,3363,0j,-0.96484375
38,38,38,0,0,3454,0j,-0.912109375
39,39,39,0,0,3545,0j,-0.787109375
40,40,40,0,0,3636,0j,-0.626953125
41,41,41,0,0,3727,0j,-0.455078125
42,42,42,0,0,3818,0j,-0.181640625
43,43,43,0,0,3909,0j,-0.046875
44,44,44,0,0,4000,0j,0.189453125
45,45,45,0,0,4090,0j,0.369140625
46,46,46,0,0,4181,0j,0.603515625
47,47,47,0,0,4272,0j,0.751953125
48,48,48,0,0,4363,0j,0.853515625
49,49,49,0,0,4454,0j,0.93359375
50,50,50,0,0,4545,0j,0.98046875
51,51,51,0,0,4636,0j,0.998046875
52,52,52,0,0,4727,0j,0.984375
53,53,53,0,0,4818,0j,0.8359375
54,54,54,0,0,4909,0j,0.744140625
55,55,55,0,0,5000,0j,0.599609375
56,56,56,0,0,5090,0j,0.423828125
57,57,57,0,0,5181,0j,0.24609375
58,58,58,0,0,5272,0j,0.009765625
59,59,59,0,0,5363,0j,-0.220703125
60,60,60,0,0,5454,0j,-0.42578125
61,61,61,0,0,5545,0j,-0.580078125
62,62,62,0,0,5636,0j,-0.763671875
63,63,63,0,0,5727,0j,-0.884765625
64,64,64,0,0,5818,0j,-0.947265625
65,65,65,0,0,5909,0j,-0.99609375
66,66,66,0,0,6000,0j,-0.9921875
67,67,67,0,0,6090,0j,-0.919921875
68,68,68,0,0,6181,0j,-0.8515625
69,69,69,0,0,6272,0j,-0.72265625
70,70,70,0,0,6363,0j,-0.52734375
71,71,71,0,0,6454,0j,-0.349609375
72,72,72,0,0,6545,0j,-0.173828125
73,73,73,0,0,6636,0j,0.05859375
74,74,74,0,0,6727,0j,0.23828125
75,75,75,0,0,6818,0j,0.439453125
76,76,76,0,0,6909,0j,0.6171875
77,77,77,0,0,7000,0j,0.814453125
78,78,78,0,0,7090,0j,0.880859375
79,79,79,0,0,7181,0j,0.978515625
80,80,80,0,0,7272,0j,1.0
81,81,81,0,0,7363,0j,0.978515625
82,82,82,0,0,7454,0j,0.9375
83,83,83,0,0,7545,0j,0.84765625
84,84,84,0,0,7636,0j,0.697265625
85,85,85,0,0,7727,0j,0.57421875
86,86,86,0,0,7818,0j,0.27734375
87,87,87,0,0,7909,0j,0.146484375
88,88,88,0,0,8000,0j,-0.103515625
89,89,89,0,0,8090,0j,-0.302734375
90,90,90,0,0,8181,0j,-0.46484375
91,91,91,0,0,8272,0j,-0.65234375
92,92,92,0,0,8363,0j,-0.78125
93,93,93,0,0,8454,0j,-0.91796875
94,94,94,0,0,8545,0j,-0.970703125
95,95,95,0,0,8636,0j,-1.0
96,96,96,0,0,8727,0j,-0.978515625
97,97,97,0,0,8818,0j,-0.919921875
98,98,98,0,0,8909,0j,-0.7734375
99,99,99,0,0,9000,0j,-0.59375
