,index,U,M,t,UM,count
0,0,0,0,120,0j,-0.13671875
1,1,0,0,164,0j,-0.10546875
2,2,0,0,208,0j,-0.015625
3,3,0,0,252,0j,-0.056640625
4,4,0,0,296,0j,0.080078125
5,5,0,0,341,0j,0.05859375
6,6,0,0,385,0j,0.13671875
7,7,0,0,429,0j,0.20703125
8,8,0,0,473,0j,0.224609375
9,9,0,0,518,0j,0.3125
10,10,0,0,562,0j,0.365234375
11,11,0,0,606,0j,0.419921875
12,12,0,0,650,0j,0.4765625
13,13,0,0,695,0j,0.53515625
14,14,0,0,739,0j,0.53125
15,15,0,0,783,0j,0.609375
16,16,0,0,827,0j,0.626953125
17,17,0,0,872,0j,0.63671875
18,18,0,0,916,0j,0.662109375
19,19,0,0,960,0j,0.65234375
20,20,0,0,1004,0j,0.751953125
21,21,0,0,1049,0j,0.755859375
22,22,0,0,1093,0j,0.787109375
23,23,0,0,1137,0j,0.771484375
24,24,0,0,1181,0j,0.828125
25,25,0,0,1226,0j,0.82421875
26,26,0,0,1270,0j,0.853515625
27,27,0,0,1314,0j,0.900390625
28,28,0,0,1358,0j,0.880859375
29,29,0,0,1403,0j,0.923828125
30,30,0,0,1447,0j,0.9140625
31,31,0,0,1491,0j,0.9375
32,32,0,0,1535,0j,0.908203125
33,33,0,0,1580,0j,0.962890625
34,34,0,0,1624,0j,0.912109375
35,35,0,0,1668,0j,0.916015625
36,36,0,0,1712,0j,0.904296875
37,37,0,0,1756,0j,0.87890625
38,38,0,0,1801,0j,0.900390625
39,39,0,0,1845,0j,0.865234375
40,40,0,0,1889,0j,0.841796875
41,41,0,0,1933,0j,0.837890625
42,42,0,0,1978,0j,0.794921875
43,43,0,0,2022,0j,0.767578125
44,44,0,0,2066,0j,0.71875
45,45,0,0,2110,0j,0.70703125
46,46,0,0,2155,0j,0.705078125
47,47,0,0,2199,0j,0.65234375
48,48,0,0,2243,0j,0.64453125
49,49,0,0,2287,0j,0.6015625
50,50,0,0,2332,0j,0.564453125
51,51,0,0,2376,0j,0.529296875
52,52,0,0,2420,0j,0.404296875
53,53,0,0,2464,0j,0.400390625
54,54,0,0,2509,0j,0.3515625
55,55,0,0,2553,0j,0.314453125
56,56,0,0,2597,0j,0.2578125
57,57,0,0,2641,0j,0.19921875
58,58,0,0,2686,0j,0.1796875
59,59,0,0,2730,0j,0.080078125
60,60,0,0,2774,0j,0.11328125
61,61,0,0,2818,0j,0.041015625
62,62,0,0,2863,0j,-0.01953125
63,63,0,0,2907,0j,-0.068359375
64,64,0,0,2951,0j,-0.099609375
65,65,0,0,2995,0j,-0.17578125
66,66,0,0,3040,0j,-0.220703125
67,67,0,0,3084,0j,-0.2109375
68,68,0,0,3128,0j,-0.251953125
69,69,0,0,3172,0j,-0.283203125
70,70,0,0,3216,0j,-0.44140625
71,71,0,0,3261,0j,-0.40234375
72,72,0,0,3305,0j,-0.486328125
73,73,0,0,3349,0j,-0.55859375
74,74,0,0,3393,0j,-0.548828125
75,75,0,0,3438,0j,-0.634765625
76,76,0,0,3482,0j,-0.65625
77,77,0,0,3526,0j,-0.703125
78,78,0,0,3570,0j,-0.720703125
79,79,0,0,3615,0j,-0.76171875
80,80,0,0,3659,0j,-0.767578125
81,81,0,0,3703,0j,-0.810546875
82,82,0,0,3747,0j,-0.77734375
83,83,0,0,3792,0j,-0.84765625
84,84,0,0,3836,0j,-0.875
85,85,0,0,3880,0j,-0.908203125
86,86,0,0,3924,0j,-0.8828125
87,87,0,0,3969,0j,-0.91796875
88,88,0,0,4013,0j,-0.9296875
89,89,0,0,4057,0j,-0.953125
90,90,0,0,4101,0j,-0.92578125
91,91,0,0,4146,0j,-0.962890625
92,92,0,0,4190,0j,-0.96484375
93,93,0,0,4234,0j,-0.966796875
94,94,0,0,4278,0j,-0.9375
95,95,0,0,4323,0j,-0.9609375
96,96,0,0,4367,0j,-0.935546875
97,97,0,0,4411,0j,-0.921875
98,98,0,0,4455,0j,-0.9296875
99,99,0,0,4500,0j,-0.896484375
