,index,U,M,t,UM,count
0,200,0,2,120,2j,-0.89453125
1,201,0,2,209,2j,-0.919921875
2,202,0,2,299,2j,-0.908203125
3,203,0,2,389,2j,-0.890625
4,204,0,2,478,2j,-0.880859375
5,205,0,2,568,2j,-0.8359375
6,206,0,2,658,2j,-0.83984375
7,207,0,2,747,2j,-0.80078125
8,208,0,2,837,2j,-0.828125
9,209,0,2,927,2j,-0.798828125
10,210,0,2,1016,2j,-0.802734375
11,211,0,2,1106,2j,-0.85546875
12,212,0,2,1196,2j,-0.87109375
13,213,0,2,1286,2j,-0.892578125
14,214,0,2,1375,2j,-0.8984375
15,215,0,2,1465,2j,-0.896484375
16,216,0,2,1555,2j,-0.91015625
17,217,0,2,1644,2j,-0.8515625
18,218,0,2,1734,2j,-0.849609375
19,219,0,2,1824,2j,-0.765625
20,220,0,2,1913,2j,-0.744140625
21,221,0,2,2003,2j,-0.70703125
22,222,0,2,2093,2j,-0.650390625
23,223,0,2,2183,2j,-0.646484375
24,224,0,2,2272,2j,-0.599609375
25,225,0,2,2362,2j,-0.693359375
26,226,0,2,2452,2j,-0.685546875
27,227,0,2,2541,2j,-0.708984375
28,228,0,2,2631,2j,-0.7578125
29,229,0,2,2721,2j,-0.830078125
30,230,0,2,2810,2j,-0.83984375
31,231,0,2,2900,2j,-0.822265625
32,232,0,2,2990,2j,-0.833984375
33,233,0,2,3080,2j,-0.818359375
34,234,0,2,3169,2j,-0.78125
35,235,0,2,3259,2j,-0.7421875
36,236,0,2,3349,2j,-0.767578125
37,237,0,2,3438,2j,-0.72265625
38,238,0,2,3528,2j,-0.697265625
39,239,0,2,3618,2j,-0.728515625
40,240,0,2,3707,2j,-0.751953125
41,241,0,2,3797,2j,-0.765625
42,242,0,2,3887,2j,-0.80859375
43,243,0,2,3976,2j,-0.82421875
44,244,0,2,4066,2j,-0.849609375
45,245,0,2,4156,2j,-0.861328125
46,246,0,2,4246,2j,-0.865234375
47,247,0,2,4335,2j,-0.890625
48,248,0,2,4425,2j,-0.88671875
49,249,0,2,4515,2j,-0.865234375
50,250,0,2,4604,2j,-0.888671875
51,251,0,2,4694,2j,-0.89453125
52,252,0,2,4784,2j,-0.900390625
53,253,0,2,4873,2j,-0.919921875
54,254,0,2,4963,2j,-0.921875
55,255,0,2,5053,2j,-0.919921875
56,256,0,2,5143,2j,-0.9140625
57,257,0,2,5232,2j,-0.900390625
58,258,0,2,5322,2j,-0.876953125
59,259,0,2,5412,2j,-0.8359375
60,260,0,2,5501,2j,-0.859375
61,261,0,2,5591,2j,-0.802734375
62,262,0,2,5681,2j,-0.7890625
63,263,0,2,5770,2j,-0.775390625
64,264,0,2,5860,2j,-0.755859375
65,265,0,2,5950,2j,-0.79296875
66,266,0,2,6040,2j,-0.81640625
67,267,0,2,6129,2j,-0.8203125
68,268,0,2,6219,2j,-0.8359375
69,269,0,2,6309,2j,-0.8671875
70,270,0,2,6398,2j,-0.888671875
71,271,0,2,6488,2j,-0.87890625
72,272,0,2,6578,2j,-0.833984375
73,273,0,2,6667,2j,-0.80859375
74,274,0,2,6757,2j,-0.73828125
75,275,0,2,6847,2j,-0.64453125
76,276,0,2,6936,2j,-0.62890625
77,277,0,2,7026,2j,-0.658203125
78,278,0,2,7116,2j,-0.6015625
79,279,0,2,7206,2j,-0.615234375
80,280,0,2,7295,2j,-0.640625
81,281,0,2,7385,2j,-0.685546875
82,282,0,2,7475,2j,-0.763671875
83,283,0,2,7564,2j,-0.75390625
84,284,0,2,7654,2j,-0.810546875
85,285,0,2,7744,2j,-0.837890625
86,286,0,2,7833,2j,-0.84375
87,287,0,2,7923,2j,-0.845703125
88,288,0,2,8013,2j,-0.845703125
89,289,0,2,8103,2j,-0.822265625
90,290,0,2,8192,2j,-0.7890625
91,291,0,2,8282,2j,-0.763671875
92,292,0,2,8372,2j,-0.74609375
93,293,0,2,8461,2j,-0.740234375
94,294,0,2,8551,2j,-0.748046875
95,295,0,2,8641,2j,-0.802734375
96,296,0,2,8730,2j,-0.87109375
97,297,0,2,8820,2j,-0.869140625
98,298,0,2,8910,2j,-0.849609375
99,299,0,2,9000,2j,-0.8828125
