,index,U,M,t,UM,count
0,0,0,0,120,0j,0.630859375
1,1,0,0,209,0j,0.580078125
2,2,0,0,299,0j,0.609375
3,3,0,0,389,0j,0.64453125
4,4,0,0,478,0j,0.646484375
5,5,0,0,568,0j,0.6171875
6,6,0,0,658,0j,0.673828125
7,7,0,0,747,0j,0.697265625
8,8,0,0,837,0j,0.689453125
9,9,0,0,927,0j,0.66015625
10,10,0,0,1016,0j,0.6328125
11,11,0,0,1106,0j,0.521484375
12,12,0,0,1196,0j,0.5
13,13,0,0,1286,0j,0.40625
14,14,0,0,1375,0j,0.384765625
15,15,0,0,1465,0j,0.3828125
16,16,0,0,1555,0j,0.392578125
17,17,0,0,1644,0j,0.38671875
18,18,0,0,1734,0j,0.4921875
19,19,0,0,1824,0j,0.580078125
20,20,0,0,1913,0j,0.65234375
21,21,0,0,2003,0j,0.671875
22,22,0,0,2093,0j,0.68359375
23,23,0,0,2183,0j,0.7265625
24,24,0,0,2272,0j,0.724609375
25,25,0,0,2362,0j,0.6484375
26,26,0,0,2452,0j,0.6328125
27,27,0,0,2541,0j,0.55859375
28,28,0,0,2631,0j,0.466796875
29,29,0,0,2721,0j,0.41796875
30,30,0,0,2810,0j,0.458984375
31,31,0,0,2900,0j,0.46875
32,32,0,0,2990,0j,0.46484375
33,33,0,0,3080,0j,0.54296875
34,34,0,0,3169,0j,0.591796875
35,35,0,0,3259,0j,0.681640625
36,36,0,0,3349,0j,0.71484375
37,37,0,0,3438,0j,0.7890625
38,38,0,0,3528,0j,0.78515625
39,39,0,0,3618,0j,0.763671875
40,40,0,0,3707,0j,0.779296875
41,41,0,0,3797,0j,0.720703125
42,42,0,0,3887,0j,0.7265625
43,43,0,0,3976,0j,0.689453125
44,44,0,0,4066,0j,0.650390625
45,45,0,0,4156,0j,0.666015625
46,46,0,0,4246,0j,0.68359375
47,47,0,0,4335,0j,0.646484375
48,48,0,0,4425,0j,0.666015625
49,49,0,0,4515,0j,0.66796875
50,50,0,0,4604,0j,0.673828125
51,51,0,0,4694,0j,0.6640625
52,52,0,0,4784,0j,0.65234375
53,53,0,0,4873,0j,0.625
54,54,0,0,4963,0j,0.6171875
55,55,0,0,5053,0j,0.56640625
56,56,0,0,5143,0j,0.54296875
57,57,0,0,5232,0j,0.5859375
58,58,0,0,5322,0j,0.560546875
59,59,0,0,5412,0j,0.5546875
60,60,0,0,5501,0j,0.654296875
61,61,0,0,5591,0j,0.63671875
62,62,0,0,5681,0j,0.6875
63,63,0,0,5770,0j,0.70703125
64,64,0,0,5860,0j,0.662109375
65,65,0,0,5950,0j,0.626953125
66,66,0,0,6040,0j,0.533203125
67,67,0,0,6129,0j,0.5390625
68,68,0,0,6219,0j,0.458984375
69,69,0,0,6309,0j,0.43359375
70,70,0,0,6398,0j,0.400390625
71,71,0,0,6488,0j,0.3203125
72,72,0,0,6578,0j,0.35546875
73,73,0,0,6667,0j,0.4140625
74,74,0,0,6757,0j,0.5078125
75,75,0,0,6847,0j,0.546875
76,76,0,0,6936,0j,0.67578125
77,77,0,0,7026,0j,0.71484375
78,78,0,0,7116,0j,0.69921875
79,79,0,0,7206,0j,0.734375
80,80,0,0,7295,0j,0.7421875
81,81,0,0,7385,0j,0.68359375
82,82,0,0,7475,0j,0.6796875
83,83,0,0,7564,0j,0.546875
84,84,0,0,7654,0j,0.52734375
85,85,0,0,7744,0j,0.521484375
86,86,0,0,7833,0j,0.505859375
87,87,0,0,7923,0j,0.48046875
88,88,0,0,8013,0j,0.513671875
89,89,0,0,8103,0j,0.5859375
90,90,0,0,8192,0j,0.669921875
91,91,0,0,8282,0j,0.75390625
92,92,0,0,8372,0j,0.677734375
93,93,0,0,8461,0j,0.728515625
94,94,0,0,8551,0j,0.76953125
95,95,0,0,8641,0j,0.744140625
96,96,0,0,8730,0j,0.69921875
97,97,0,0,8820,0j,0.6796875
98,98,0,0,8910,0j,0.67578125
99,99,0,0,9000,0j,0.615234375
